SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1400 N State Pkwy Unit 10A,Chicago,IL,60610,354000,2,2.0,CHI - Near North Side,1250,,1960,37,283,1072,Active,,,http://www.redfin.com/IL/Chicago/1400-N-State-Pkwy-60610/unit-10A/home/14113993,MRED,11210616,N,Y,41.9079255,-87.6290073
MLS Listing,,Condo/Co-op,1110 N Lake Shore Dr Unit 4N,Chicago,IL,60611,595000,3,2.5,CHI - Near North Side,2122,,1969,84,280,2540,Active,,,http://www.redfin.com/IL/Chicago/1110-N-Lake-Shore-Dr-60611/unit-4N/home/14122746,MRED,11166242,N,Y,41.902836,-87.625043
MLS Listing,,Condo/Co-op,1540 N Lake Shore Dr Unit 7N,Chicago,IL,60610,1950000,4,4.0,CHI - Near North Side,4300,,1926,1,453,4285,Active,,,http://www.redfin.com/IL/Chicago/1540-N-Lake-Shore-Dr-60610/unit-7N/home/13007278,MRED,11247331,N,Y,41.9106233,-87.6265826
MLS Listing,,Condo/Co-op,1310 N Ritchie Ct Unit 25B,Chicago,IL,60610,575000,2,2.0,CHI - Near North Side,1350,,1969,1,426,1234,Active,,,http://www.redfin.com/IL/Chicago/1310-N-Ritchie-Ct-60610/unit-25B/home/14124036,MRED,11247247,N,Y,41.9064866,-87.62685
MLS Listing,,Condo/Co-op,1221 N Dearborn St Unit 604S,Chicago,IL,60610,399000,2,2.5,CHI - Near North Side,1665,,1974,1,240,1209,Active,October-17-2021 12:00 PM,October-17-2021 01:30 PM,http://www.redfin.com/IL/Chicago/1221-N-Dearborn-St-60610/unit-604S/home/26811872,MRED,11247157,N,Y,41.9046835,-87.6296264
MLS Listing,,Condo/Co-op,1313 N Ritchie Ct #2707,Chicago,IL,60610,259000,1,1.0,CHI - Near North Side,650,,1978,1,398,465,Active,,,http://www.redfin.com/IL/Chicago/1313-N-Ritchie-Ct-60610/unit-2707/home/14124480,MRED,11246998,N,Y,41.9061626,-87.6261578
MLS Listing,,Condo/Co-op,1448 N Lake Shore Dr Unit 1B,Chicago,IL,60610,325000,1,1.0,CHI - Near North Side,,,1927,1,,1596,Active,,,http://www.redfin.com/IL/Chicago/1448-N-Lake-Shore-Dr-60610/unit-1B/home/40319815,MRED,11246874,N,Y,41.9092734,-87.626852
MLS Listing,,Condo/Co-op,1540 N State Pkwy Unit 14D,Chicago,IL,60610,339900,2,2.0,CHI - Near North Side,1150,,1970,1,296,925,Active,,,http://www.redfin.com/IL/Chicago/1540-N-State-Pkwy-60610/unit-14D/home/14115387,MRED,11246749,N,Y,41.910666,-87.629243
MLS Listing,,Condo/Co-op,1120 N Lake Shore Dr Unit 3C,Chicago,IL,60611,515000,2,2.0,CHI - Near North Side,1600,,1924,1,322,2342,Active,,,http://www.redfin.com/IL/Chicago/1120-N-Lake-Shore-Dr-60611/unit-3C/home/176730051,MRED,11246656,N,Y,41.9030623,-87.6250979
MLS Listing,,Condo/Co-op,40 W Schiller St Unit 1B,Chicago,IL,60610,399900,2,2.0,CHI - Near North Side,1215,,1923,1,329,2021,Active,,,http://www.redfin.com/IL/Chicago/40-W-Schiller-St-60610/unit-1B/home/144668768,MRED,11246663,N,Y,41.9079708,-87.630368
